Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
من فاز ببطولة NBA عام 2004؟,Which team won the NBA championship in 2004?,ديترويت بيستونز,Detroit Pistons,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من قاد دالاس لأول لقب في ال NBA؟,Which NBA player led Dallas to its first NBA title?,ديرك نوفيتسكي,Dirk Nowitzki,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2007 في ال NBA؟,Which NBA player won the 2007 NBA MVP?,ديرك نوفيتسكي,Dirk Nowitzki,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2011 في ال NBA؟,Which NBA player won the 2011 NBA MVP?,ديريك روز,Derrick Rose,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أصغر لاعب فاز بـ MVP في ال NBA؟,Which NBA player became the youngest MVP ever?,ديريك روز,Derrick Rose,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بـ D-Rose في ال NBA؟,Which NBA player is nicknamed D-Rose?,ديريك روز,Derrick Rose,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بجائزة أفضل مبتدئ عام 2009 في ال NBA؟,Which NBA player won Rookie of the Year in 2009?,ديريك روز,Derrick Rose,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالأدميرال في ال NBA؟,Which NBA player is nicknamed The Admiral?,ديفيد روبنسون,David Robinson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بأفضل مدافع أربع مرات؟,Which NBA player won Defensive Player of the Year four times?,ديكيمبي موتومبو,Dikembe Mutombo,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالدودة؟,Which NBA player is nicknamed The Worm?,دينيس رودمان,Dennis Rodman,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من تصدر الدوري في المتابعات 7 مواسم متتالية؟,Which NBA player led the league in rebounds seven straight seasons?,دينيس رودمان,Dennis Rodman,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من قاد ألمانيا في نهائي كأس العالم 2023؟,Which NBA player led Germany in the 2023 World Cup final?,دينيس شرودر,Dennis Schröder,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2017 في ال NBA؟,Which NBA player won MVP in 2017?,راسل ويستبروك,Russell Westbrook,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي نادٍ إسباني فاز بأكبر عدد من ألقاب اليوروليغ؟,Which Spanish club has won the most EuroLeague titles?,ريال مدريد,Real Madrid,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من الهداف التاريخي للبيسرز  في ال NBA؟,Which NBA player is the all-time leading scorer for the Pacers?,ريجي ميلر,Reggie Miller,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من اشتهر بالثلاثيات الحاسمة ضد النيكس؟,Which NBA player was famous for clutch three-pointers against the Knicks?,ريجي ميلر,Reggie Miller,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة ساكرامنتو؟,Which team plays in Sacramento?,ساكرامنتو كينغز,Sacramento Kings,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق اختار ويمبانياما  في ال NBA؟,Which team drafted Victor Wembanyama?,سان أنطونيو سبيرز,San Antonio Spurs,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق لعب تيم دنكان  في ال NBA؟,Which team did Tim Duncan play for?,سان أنطونيو سبيرز,San Antonio Spurs,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي مدينة اختُرعت كرة السلة؟,In which city was basketball invented?,سبرينغفيلد,Springfield,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعتبر أعظم مسدد في تاريخ كرة السلة؟,Which NBA player is widely considered the greatest shooter ever?,ستيفن كاري,Stephen Curry,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من حطم الرقم القياسي للثلاثيات؟,Which NBA player broke the all-time three-point record?,ستيفن كاري,Stephen Curry,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما اللاعب الذي يُطلق عليه المشجعون لقب Skyfucker؟,Which NBA player is nicknamed Skyfucker by fans?,ستيفن كاري,Stephen Curry,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة لوكا دونتشيتش؟,Which country is Luka Dončić from?,سلوفينيا,Slovenia,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بيوروباسكت 2017؟,Which country won EuroBasket 2017?,سلوفينيا,Slovenia,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
إلى ماذا يشير اسم 76ers؟,"What does ""76ers"" refer to?",سنة 1776,Year 1776,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة شارلوت؟,Which NBA team is based in Charlotte?,شارلوت هورنتس,Charlotte Hornets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق امتلكه مايكل جوردان؟,Which team was owned by Michael Jordan?,شارلوت هورنتس,Charlotte Hornets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالديزل؟,"Which NBA player is known as ""The Diesel""?",شاكيل أونيل,Shaquille O'Neal,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من اشتهر بتحطيم السلال؟,Which NBA player famously broke backboards with dunks?,شاكيل أونيل,Shaquille O'Neal,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2000؟,Which NBA player won the 2000 NBA MVP?,شاكيل أونيل,Shaquille O'Neal,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق اختار مايكل جوردان في الدرافت؟,Which team drafted Michael Jordan?,شيكاغو بولز,Chicago Bulls,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
مع أي فريق فاز جوردان بست بطولات؟,Which team did Michael Jordan win six championships with?,شيكاغو بولز,Chicago Bulls,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
مع أي فريق فاز رودمان بالألقاب مع جوردان؟,Which team did Dennis Rodman win titles with alongside Jordan?,شيكاغو بولز,Chicago Bulls,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة نيكولا يوكيتش؟,Which country is Nikola Jokić from?,صربيا,Serbia,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالقفاز  في ال NBA؟,Which NBA player is nicknamed The Glove?,غاري بايتون,Gary Payton,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما المدينة التي يمثلها الووريرز  في ال NBA؟,Which team is nicknamed the Warriors?,غولدن ستيت,Golden State,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ضد أي فريق عاد كليفلاند من تأخر 3-1؟,Against which team did Cleveland complete a 3-1 comeback?,غولدن ستيت ووريرز,Golden State Warriors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز ببطولة NBA عام 2015؟,Which team won the NBA title in 2015?,غولدن ستيت ووريرز,Golden State Warriors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز ببطولة NBA عام 2017؟,Which team won the NBA title in 2017?,غولدن ستيت ووريرز,Golden State Warriors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز ببطولة NBA عام 2018؟,Which team won the NBA title in 2018?,غولدن ستيت ووريرز,Golden State Warriors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة فيكتور ويمبانياما؟,Which country is Victor Wembanyama from?,فرنسا,France,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما لقب منتخب أمريكا الأولمبي في كرة السلة 1992؟,What was the nickname of the 1992 USA Basketball Olympic Team?,فريق الأحلام,Dream Team,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز باليوروليغ 2017؟,Which Turkish club won the EuroLeague in 2017?,فنربخشة,Fenerbahçe,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما القاعة الرئيسية للفينيكس صنز؟,Which arena is home to the Phoenix Suns?,فوتبرنت سنتر,Footprint Center,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بجائزة أفضل لاعب مبتدئ 2024؟,Which NBA player won NBA Rookie of the Year in 2024?,فيكتور ويمبانياما,Victor Wembanyama,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي مدرب قاد البولز لست بطولات؟,Which legendary coach led the Bulls to six titles?,فيل جاكسون,Phil Jackson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أكثر مدرب فاز ببطولات NBA؟,Which coach won the most NBA championships?,فيل جاكسون,Phil Jackson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي مدينة يقع فريق 76ers؟,Which city is home to the 76ers?,فيلادلفيا,Philadelphia,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق اختار جويل إمبيد؟,Which team drafted Joel Embiid?,فيلادلفيا سفنتي سيكسرز,Philadelphia 76ers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من لُقب نصف إنسان نصف مذهل  في ال NBA؟,Which NBA player was nicknamed Half Man Half Amazing?,فينس كارتر,Vince Carter,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بمسابقة الدانك 2000 في ال NBA؟,Which NBA player won the famous 2000 Slam Dunk Contest?,فينس كارتر,Vince Carter,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة فينيكس؟,Which team is based in Phoenix?,فينيكس صنز,Phoenix Suns,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بساعي البريد في ال NBA؟,Which NBA player is nicknamed The Mailman?,كارل مالون,Karl Malone,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 1997؟,Which NBA player won the 1997 NBA MVP?,كارل مالون,Karl Malone,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 1999؟,Which NBA player won the 1999 NBA MVP?,كارل مالون,Karl Malone,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من سجل الثلاثية الحاسمة في نهائي 2016؟,Which NBA player hit the title-winning three in Game 7 of 2016?,كايري إيرفينغ,Kyrie Irving,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بـ Uncle Drew؟,"Which NBA player is nicknamed ""Uncle Drew""?",كايري إيرفينغ,Kyrie Irving,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بالفضية خلف فريق الأحلام؟,Which country won silver behind the Dream Team in 1992?,كرواتيا,Croatia,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من اشتهر بتسديدة Sky Hook؟,"Which NBA player is famous for the ""Sky Hook""?",كريم عبد الجبار,Kareem Abdul-Jabbar,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بست جوائز MVP؟,Which NBA player won six MVP awards?,كريم عبد الجبار,Kareem Abdul-Jabbar,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة كليفلاند؟,Which team is based in Cleveland?,كليفلاند كافالييرز,Cleveland Cavaliers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي دولة اختُرعت كرة السلة؟,Which country invented basketball?,كندا,Canada,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالـ Black Mamba  في ال NBA؟,"Which NBA player is known as ""The Black Mamba""?",كوبي براينت,Kobe Bryant,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بخمس بطولات NBA مع الليكرز؟,Which NBA player won five NBA titles with the Lakers?,كوبي براينت,Kobe Bryant,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بـ KD في ال NBA؟ ,"Which NBA player is nicknamed ""KD""?",كيفن دورانت,Kevin Durant,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2014  في ال NBA؟,Which NBA player won MVP in 2014?,كيفن دورانت,Kevin Durant,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بـ Larry Legend؟,"Which NBA player was known as ""Larry Legend""?",لاري بيرد,Larry Bird,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي مدينة يقع فريق ليكرز؟,Which city are the Lakers based in?,لوس أنجلوس,Los Angeles,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
مع أي فريق لعب كوبي براينت طوال مسيرته؟,Which team did Kobe Bryant spend his entire NBA career with?,لوس أنجلوس ليكرز,Los Angeles Lakers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق يلعب لوكا دونتشيتش؟,Which team does Luka Dončić play for (2025-26 season)?,لوس أنجلوس ليكرز,Los Angeles Lakers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق لعب ماجيك جونسون؟,Which team did Magic Johnson play for?,لوس أنجلوس ليكرز,Los Angeles Lakers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من هزم ديترويت في نهائي 2004؟,Which team did Detroit defeat in the 2004 Finals?,لوس أنجلوس ليكرز,Los Angeles Lakers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بلقب الملك جيمس؟,"Which NBA player is known as ""King James""?",ليبرون جيمس,LeBron James,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أكثر لاعب تسجيلاً للنقاط في تاريخ NBA؟,Which NBA player has scored the most points in NBA history?,ليبرون جيمس,LeBron James,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من قاد كليفلاند لأول لقب في 2016؟,Which NBA player led Cleveland to its first title in 2016?,ليبرون جيمس,LeBron James,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعتبر أعظم صانع ألعاب؟,Which NBA player is considered the greatest point guard ever?,ماجيك جونسون,Magic Johnson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بمسابقة الدانك 1988؟,Which NBA player won the famous 1988 Slam Dunk Contest?,مايكل جوردان,Michael Jordan,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من قفز من خط الرمية الحرة في الدانك؟,Which NBA player jumped from the free-throw line in a dunk contest?,مايكل جوردان,Michael Jordan,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة ممفيس؟,Which team plays in Memphis?,ممفيس غريزليز,Memphis Grizzlies,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة ميامي؟,Which team is based in Miami?,ميامي هيت,Miami Heat,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز ببطولة NBA عام 2021؟,Which team won the NBA title in 2021?,ميلووكي باكس,Milwaukee Bucks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق يملك شعار الغزال؟,Which NBA team has a deer logo?,ميلووكي باكس,Milwaukee Bucks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق يلعب أنتوني إدواردز؟,Which team does Anthony Edwards play for?,مينيسوتا تمبروولفز,Minnesota Timberwolves,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي لاعب صربي يُلقب بالمهرج؟,Which Serbian player is nicknamed Joker?,نيكولا يوكيتش,Nikola Jokić,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق يلعب في ماديسون سكوير غاردن؟,Which team plays at Madison Square Garden?,نيويورك نيكس,New York Knicks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق يملك صاروخاً في شعاره؟,Which NBA team has a rocket in its logo?,هيوستن روكتس,Houston Rockets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما الاسم السابق لواشنطن ويزاردز؟,What was the former name of the Washington Wizards?,واشنطن بوليتس,Washington Bullets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالوحش اليوناني؟,"Which NBA player is nicknamed ""The Greek Freak""?",يانيس أنتيتوكونمبو,Giannis Antetokounmpo,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة يوتا؟,Which team plays in Utah?,يوتا جاز,Utah Jazz,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما القاعة الرئيسية للبولز؟,Which arena is home to the Chicago Bulls?,يونايتد سنتر,United Center,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم عدد سور القرآن الكريم؟,How many surahs are in the Quran?,114,114,☪️ دين,الإسلام,☪️ Religion,Islam
نار أي نبي أصبحت برداً وسلاماً؟,Which prophet’s fire became cool and safe?,إبراهيم,Abraham,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي أعاد بناء الكعبة؟,Which prophet rebuilt the Kaaba?,إبراهيم وإسماعيل,Abraham & Ishmael,☪️ دين,الإسلام,☪️ Religion,Islam
من كان أول خليفة بعد النبي محمد؟,Who was the first caliph after Prophet Muhammad?,أبو بكر الصديق,Abu Bakr,☪️ دين,الإسلام,☪️ Religion,Islam
ما مفهوم الواجب في الهندوسية؟,What is the Hindu concept of duty called?,الدارما,Dharma,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي ملاك نقل الوحي إلى النبي محمد ﷺ؟,Which angel delivered revelation to Prophet Muhammad?,جبريل,Gabriel (Jibril),☪️ دين,الإسلام,☪️ Religion,Islam
أي نبي أُعطي الإنجيل؟,Which prophet brought the Gospel?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
إلى أي مدينة هاجر النبي محمد؟,To which city did Prophet Muhammad migrate?,المدينة المنورة,Medina,☪️ دين,الإسلام,☪️ Religion,Islam
أي نبي نجا من الغرق في النيل؟,Which prophet was saved from drowning in the Nile?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي بحر شق موسى؟,What sea did Moses split?,البحر الأحمر,Red Sea,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
ما معجزة النبي صالح عليه السلام؟,What was the miracle of Prophet Saleh?,الناقة,The she-camel,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي نجا داخل حوت؟,Which prophet was saved in a great fish?,يونس عليه السلام,Yunus,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي ديانة تعبد أهورا مزدا؟,Which religion worships Ahura Mazda?,الزرادشتية,Zoroastrianism,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي ديانة تستخدم رمز الفرافهار؟,Which religion uses the Faravahar symbol?,الزرادشتية,Zoroastrianism,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي نبي نجا من نار النمرود؟,Which prophet was saved from King Nimrod’s fire?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي زوجته أنجبت في سن متأخرة؟,Which prophet’s wife gave birth miraculously at old age?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي حطم الأصنام؟,Which prophet broke idols in his people’s temple?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي أُلقي في النار ولم يحترق؟,Which prophet was thrown into fire but did not burn?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
ما اسم الجنة التي عاش فيها آدم وحواء؟,What was the name of the garden of Adam and Eve?,جنة عدن,Garden of Eden,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي وُلد بدون أب؟,Which prophet was born without a father?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي كان يشفي المرضى ويحيي الموتى بإذن الله؟,Which prophet healed the sick and raised the dead by God’s permission?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي صنع طيراً من الطين بإذن الله؟,Which prophet created a bird from clay (by God's permission)?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي شفى العمى؟,Which prophet cured blindness by God’s permission?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي تكلم وهو رضيع؟,Which prophet spoke as a baby according to tradition?,عيسى عليه السلام,Jesus (Isa),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي شُفي بعد مرض طويل؟,Which prophet was healed after a long illness?,أيوب عليه السلام,Ayyub,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي اشتهر بالصبر الشديد؟,Which prophet was known for patience during extreme suffering?,أيوب عليه السلام,Ayyub,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي نجا داخل حوت عظيم؟,Which prophet survived inside a great fish?,يونس عليه السلام,Yunus,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي صام ونجا في بطن الحوت؟,Which prophet fasted and survived in the belly of a fish?,يونس عليه السلام,Yunus,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي أُرسل إلى نينوى؟,Which prophet was sent to Nineveh?,يونس عليه السلام,Yunus,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي فسّر الأحلام في السجن وأصبح حاكماً؟,Which prophet interpreted dreams in prison and became ruler?,يوسف عليه السلام,Joseph (Yusuf),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي اشتهر بتفسير الأحلام في مصر؟,Which prophet interpreted dreams in Egypt?,يوسف عليه السلام,Joseph (Yusuf),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
من قاد بني إسرائيل للخروج من مصر؟,Who led the Israelites out of Egypt?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
عصا أي نبي تحولت إلى ثعبان؟,Which prophet's staff turned into a snake?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
عصا أي نبي تحولت إلى ثعبان أمام فرعون؟,Which prophet’s staff turned into a serpent in front of Pharaoh?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
عصا أي نبي ابتلعت سحر السحرة؟,Which prophet had a rod that swallowed magic serpents?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي وُضع في سلة على النهر؟,Which prophet was protected in a basket on a river?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي نجا قومه من فرعون؟,Which prophet’s people were saved from Pharaoh?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي كلمه الله من شجرة مشتعلة؟,Which prophet spoke to God from a burning bush?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي كلمه الله مباشرة في جبل سيناء؟,Which prophet spoke to God directly on Mount Sinai?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي شق البحر؟,Which prophet split the sea?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي جاءت على يده الضربات العشر على مصر؟,Which prophet brought ten plagues upon Egypt?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي أخرج الماء من الصخر؟,Which prophet caused water to gush from a rock?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي أُعطي التوراة؟,Which prophet received the Torah?,موسى عليه السلام,Moses,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
على أي جبل استقر فلك نوح وفقاً للتقاليد؟,On which mountain did Noah's Ark rest according to tradition?,جبل أرارات,Mount Ararat,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي شق القمر؟,Which prophet split the moon?,محمد ﷺ,Muhammad,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي شق القمر؟,Which prophet split the moon according to Islamic tradition?,محمد ﷺ,Muhammad,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي انتقل من مكة إلى القدس في ليلة واحدة؟,Which prophet traveled from Mecca to Jerusalem in one night?,محمد ﷺ,Muhammad,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي نجا من الطوفان؟,Which prophet survived a global flood?,نوح,Noah,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي قومه أهلكوا بالطوفان؟,Which prophet’s people were destroyed by a flood?,نوح,Noah,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي بنى الفلك؟,Which prophet built the Ark?,نوح,Noah,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
ما اسم أول خمسة أسفار من الكتاب المقدس؟,What are the first five books of the Bible called?,الأسفار الخمسة,Pentateuch,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي بحر شقه موسى؟,Which sea did Moses part?,البحر الأحمر,Red Sea,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي خرجت له ناقة من الصخر؟,Which prophet’s camel came out of a rock?,صالح عليه السلام,Saleh,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي ملك بنى الهيكل الأول في القدس؟,Which king built the First Temple in Jerusalem?,سليمان عليه السلام,Solomon,☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي كان يفهم لغة الحيوانات؟,Which prophet could understand animals?,سليمان عليه السلام,Solomon (Sulaiman),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي كان له جيش من الجن والإنس؟,Which prophet had an army of jinn and humans?,سليمان عليه السلام,Solomon (Sulaiman),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي سخر الله له الرياح؟,Which prophet controlled the wind by God's permission?,سليمان عليه السلام,Solomon (Sulaiman),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
أي نبي تكلم مع الطيور؟,Which prophet spoke to birds?,سليمان عليه السلام,Solomon (Sulaiman),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
